                                         The SAS System     11:42 Thursday, November 1, 2001   1

                    Obs     env     rep    block    entry     line     yield
                    Obs     env     rep    block    entry     line     yield

                    201    96AME     3       10       11     K505-1     23.8
                    202    96AME     3        3       12     K507-1       .
                    203    96AME     3        6       13     K510-1     25.0
                    204    96AME     3        1       14     K528-1     31.2
                    205    96AME     3        5       15     K530-1     30.1
                    206    96AME     3        9       16     K533-1     26.2
                    207    96AME     3        6       17     K535-1     38.0
                    208    96AME     3        4       18     K536-1     54.1
                    209    96AME     3        3       19     K538-1     24.6
                    210    96AME     3       12       20     K546-1     23.4
                    211    96AME     3       10       21     K551-1     33.5
                    212    96AME     3        1       22     K553-1     37.3
                    213    96AME     3       11       23     K555-1     32.1
                    214    96AME     3        3       24     K557-1     31.4
                    215    96AME     3        5       25     K567-1     26.4
                    216    96AME     3        2       26     K569-1     37.8
                    217    96AME     3       11       27     K571-1     32.9
                    218    96AME     3        4       28     K576-1     30.0
                    219    96AME     3       12       29     K577-1     32.6
                    220    96AME     3       10       30     K468-2     36.3
                    221    96AME     3        9       31     K480-2     33.2
                    222    96AME     3        5       32     K487-2     35.4
                    223    96AME     3        8       33     K490-2     19.3
                    224    96AME     3        2       34     K492-2     42.7
                    225    96AME     3        6       35     K494-2     35.2
                    226    96AME     3       12       36     K495-2     35.6
                    227    96AME     3        5       37     K497-2     38.8
                    228    96AME     3       12       38     K498-2     29.1
                    229    96AME     3        1       39     K499-2     36.0
                    230    96AME     3        1       40     K514-2     35.3
                    231    96AME     3        8       41     K507-2     27.5
                    232    96AME     3        3       42     K508-2     43.4
                    233    96AME     3       10       43     K515-2     29.7
                    234    96AME     3        9       44     K573-4     35.6
                    235    96AME     3        4       45     K524-2     34.1
                    236    96AME     3        2       46     K525-2     30.1
                    237    96AME     3        6       47     K534-2     39.9
                    238    96AME     3        2       48     K542-2     35.1
                    239    96AME     3        1       49     K543-2     24.8
                    240    96AME     3        7       50     K555-2     29.8
                    241    96AME     3        6       51     K561-2     33.8
                    242    96AME     3       11       52     K566-2     38.9
                    243    96AME     3        4       53     K569-2     23.8
                    244    96AME     3        7       54     K573-2     33.6
                    245    96AME     3       11       55     K577-2     33.4
                    246    96AME     3        2       56     K469-3     26.6
                    247    96AME     3        3       57     K471-3     44.0
                    248    96AME     3        6       58     K473-3     43.1
                    249    96AME     3        5       59     K531-4     22.1
                    250    96AME     3        9       60     K487-4     24.1
                                         The SAS System     11:42 Thursday, November 1, 2001   6

                    Obs     env     rep    block    entry     line     yield

                    251    96AME     3       11       61     K491-3     31.8
                    252    96AME     3        3       62     K495-3     45.2
                    253    96AME     3        8       63     K501-3     19.8
                    254    96AME     3        5       64     K502-3     34.0
                    255    96AME     3        1       65     K556-4     32.1
                    256    96AME     3        7       66     K513-3     35.7
                    257    96AME     3       12       67     K514-3     35.3
                    258    96AME     3        8       68     K469-4     35.5
                    259    96AME     3        5       69     K524-3     37.5
                    260    96AME     3        9       70     K526-3     26.5
                    261    96AME     3        2       71     K530-3     26.2
                    262    96AME     3       10       72     K531-3     35.6
                    263    96AME     3        3       73     K532-3     32.7
                    264    96AME     3        6       74     K538-3     26.3
                    265    96AME     3        1       75     K544-3     36.2
                    266    96AME     3        8       76     K546-3     27.3
                    267    96AME     3        6       77     K543-4     25.0
                    268    96AME     3        3       78     K550-3     22.6
                    269    96AME     3       12       79     K552-3     26.6
                    270    96AME     3        5       80     K555-3     26.5
                    271    96AME     3        6       81     K556-3     31.7
                    272    96AME     3        7       82     K557-3     37.2
                    273    96AME     3        7       83     K546-4     38.3
                    274    96AME     3        3       84     K563-4     30.1
                    275    96AME     3        7       85     K567-3     22.4
                    276    96AME     3        9       86     K571-3       .
                    277    96AME     3        7       87     K573-3     35.2
                    278    96AME     3       11       88     K574-3     26.0
                    279    96AME     3        5       89     K491-1     42.4
                    280    96AME     3        8       90     K564-2     20.4
                    281    96AME     3        8       91     K528-4     36.2
                    282    96AME     3        4       92     K466-3     46.1
